"Country","Company","Title","Category","Location","Date Posted","Link"
"Qatar","QatarEnergy LNG","Senior QA/QC Engineer","Engineering & Technical","Ras Laffan 2 South, Qatar","2026-03-26","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Senior-QAQC-Engineer/1377828733/"
"Qatar","QatarEnergy LNG","Lead of IT Center of Excellence (PMO)","Digital & IT","Doha, Qatar","2026-03-23","https://careers.qatarenergylng.qa/job/Doha-Lead-of-IT-Center-of-Excellence-%28PMO%29/1133910201/"
"Qatar","QatarEnergy LNG","Lead of Ops and Eng Applications","Digital & IT","Doha, Qatar","2026-03-19","https://careers.qatarenergylng.qa/job/Doha-Lead-of-Ops-and-Eng-Applications/1130847201/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Chemical Engineering","Early Careers","Ras Laffan 2 South, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Chemical-Engineering/1286964801/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities - Mechanical Engineering","Early Careers","Ras Laffan 2 South, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Mechanical-Engineering/1286964901/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities -  Electrical Engineering","Early Careers","Ras Laffan 2 South, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Ras-Laffan-2-South-Fresh-Qatari-Graduate-Opportunities-Electrical-Engineering/1286965001/"
"Qatar","QatarEnergy LNG","2026 Internship Program","Early Careers","Doha, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Doha-2026-Internship-Program/1285613601/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities -  Petroleum Engineering","Early Careers","Doha, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Petroleum-Engineering/1286965101/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities -  Business & Finance Majors","Early Careers","Doha, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Business-&-Finance-Majors/1286965201/"
"Qatar","QatarEnergy LNG","Fresh Qatari Graduate Opportunities -  Computer Majors","Early Careers","Doha, Qatar","2026-03-03","https://careers.qatarenergylng.qa/job/Doha-Fresh-Qatari-Graduate-Opportunities-Computer-Majors/1286965301/""}, {""type"": ""text"", ""text"":"
