"Country","Company","Title","Category","Location","Date Posted","Link"
"Saudi Arabia","SATORP","Electrical Maintenance Engineering Supervisor","Electrical & Instrumentation","Jubail Industrial City, Saudi Arabia","2026-03-10","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7804&selected_lang=en_US"
"Saudi Arabia","SATORP","Cost & Management Accountant","Finance & Accounting","Jubail Industrial City, Saudi Arabia","2026-03-10","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8796&selected_lang=en_US"
"Saudi Arabia","SATORP","Contract Administrator","Legal & Compliance","Jubail Industrial City, Saudi Arabia","2026-02-17","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8919&selected_lang=en_US"
"Saudi Arabia","SATORP","PetChem Process Control Supervisor","Operations & Process","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8849&selected_lang=en_US"
"Saudi Arabia","SATORP","Engineering Technical Training Coordinator (SMP)","Graduate & Internship","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8735&selected_lang=en_US"
"Saudi Arabia","SATORP","RBI Engineer","Inspection & Integrity","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8106&selected_lang=en_US"
"Saudi Arabia","SATORP","Planning Supervisor","Management & Administration","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7874&selected_lang=en_US"
"Saudi Arabia","SATORP","Area Inspector - Electrical","Inspection & Integrity","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7869&selected_lang=en_US"
"Saudi Arabia","SATORP","Laboratory Senior Quality Specialist","HSE","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8317&selected_lang=en_US"
"Saudi Arabia","SATORP","Welding Specialist","Inspection & Integrity","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7511&selected_lang=en_US"
"Saudi Arabia","SATORP","NDT Level III Specialist","Inspection & Integrity","Jubail Industrial City, Saudi Arabia","2026-02-16","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7510&selected_lang=en_US"
"Saudi Arabia","SATORP","Inspection Supervisor","Inspection & Integrity","Jubail Industrial City, Saudi Arabia","2026-02-15","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=7973&selected_lang=en_US"
"Saudi Arabia","SATORP","Claims Processing Analyst","Supply Chain","Jubail Industrial City, Saudi Arabia","2026-02-10","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8410&selected_lang=en_US"
"Saudi Arabia","SATORP","Technical Security Support Supervisor","Management & Administration","Jubail Industrial City, Saudi Arabia","2026-01-13","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8221&selected_lang=en_US"
"Saudi Arabia","SATORP","Industrial Security Manager","Management & Administration","Jubail Industrial City, Saudi Arabia","2026-01-13","https://career-sa20.hr.cloud.sap/career?career%5fns=job%5flisting&company=SATORPPROD&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=8787&selected_lang=en_US"
