"Country","Company","Title","Category","Location","Date Posted","Link"
"Bahrain","Bapco Energies","Head - Application Operations & Support","IT & Digital","Manama/Sea Front, Bahrain","2026-03-10","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100209"
"Bahrain","Bapco Energies","Logistics Officer","Supply Chain & Logistics","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100002"
"Bahrain","Bapco Energies","Engineer","General","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100013"
"Bahrain","Bapco Energies","Manager Tax","Finance & Accounting","Manama/Sea Front, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100014"
"Bahrain","Bapco Energies","On Development Assignment - Engineer","General","Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100018"
"Bahrain","Bapco Energies","Vice President Legal - Upstream","Legal & Compliance","Al-Rumamin, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100016"
"Bahrain","Bapco Energies","Instructional Designer","Human Resources","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100027"
"Bahrain","Bapco Energies","Instructor Operations","Human Resources","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100026"
"Bahrain","Bapco Energies","Instructor Electrical","Electrical & Instrumentation","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100028"
"Bahrain","Bapco Energies","Senior Associate - Bapco Energies Entities","General","Awali, Bahrain","2025-11-19","https://iadygs.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/100038"
