"Country","Company","Title","Category","Location","Date Posted","Link"
"Oman","OQ Group","Safety Officer -RPI","HSE","Sohar, Oman","2026-03-18","https://careers.oq.com/job/Sohar-Safety-Officer-RPI/1203865101/"
"Oman","OQ Group","DPC Director","Management","Duqm, Oman","2026-03-18","https://careers.oq.com/job/Duqm-DPC-Director/1374986833/"
"Oman","OQ Group","Team Lead Olefin Cracker & NGLE (Process Engineering)","Engineering & Technical","Sohar, Oman","2026-03-17","https://careers.oq.com/job/Sohar-Team-Lead-Olefin-Cracker-&-NGLE-%28Process-Engineering%29/1220439401/"
"Oman","OQ Group","Lead Engineer, Environmental","HSE","Muscat, Oman","2026-03-17","https://careers.oq.com/job/Muscat-Lead-Engineer%2C-Environmental/1374397933/"
"Oman","OQ Group","Sr. Specialist, Fire & Emergency","Engineering & Technical","Muscat, Oman","2026-03-17","https://careers.oq.com/job/Muscat-Sr_-Specialist%2C-Fire-&-Emergency/1374398633/"
"Oman","OQ Group","Lead Engineer, Material & Corrosion","Engineering & Technical","Muscat, Oman","2026-03-17","https://careers.oq.com/job/Muscat-Lead-Engineer%2C-Material-&-Corrosion/1374399433/"
"Oman","OQ Group","Principal Commercial Oman New Ventures","Finance & Accounting","Muscat, Oman","2026-03-17","https://careers.oq.com/job/Muscat-Principal-Commercial-Oman-New-Ventures/1374397733/"
"Oman","OQ Group","Manager, Assets Integrity","Management","Muscat, Oman","2026-03-17","https://careers.oq.com/job/Muscat-Manager%2C-Assets-Integrity/1374398933/"
"Oman","OQ Group","Advisor Security & Crisis Management","Other","Muscat, Oman","2026-03-16","https://careers.oq.com/job/Muscat-Advisor-Security-&-Crisis-Management/1374006033/"
"Oman","OQ Group","OQGN, Head of Project Services","Management","Office, Oman","2026-03-11","https://careers.oq.com/job/Office-OQGN%2C-Head-of-Project-Services/1372365433/"
"Oman","OQ Group","Warehouse Supervisor - Musandam","Management","Musandam, Oman","2026-02-22","https://careers.oq.com/job/Musandam-Warehouse-Supervisor-Musandam/1366577333/"
"Oman","OQ Group","Warehouse Supervisor - Salalah","Management","Salalah, Oman","2026-02-22","https://careers.oq.com/job/Salalah-Warehouse-Supervisor-Salalah/1366567933/"
"Oman","OQ Group","HSE Officer - Salalah","HSE","Salalah, Oman","2026-02-22","https://careers.oq.com/job/Salalah-HSE-Officer-Salalah/1366567733/"
